owner,tax_year,taxes_received,amount
John Littlefield,1972,Y, $845 
John Littlefield,1973,Y, $850 
John Littlefield,1974,Y, $855 
John Littlefield,1975,Y, $860 
John Littlefield,1976,Y, $865 
John Littlefield,1977,Y, $870 
John Littlefield,1978,Y, $875 
John Littlefield,1979,Y, $880 
John Littlefield,1980,Y, $885 
John Littlefield,1981,Y, $890 
John Littlefield,1982,Y, $895 
John Littlefield,1983,Y, $900 
Richard Tobaz,1984,Y, $905 
Victor Stachura,1985,Y, $910 
Victor Stachura,1986,Y, $915 
Victor Stachura,1987,Y, $920 
Victor Stachura,1988,Y, $925 
Victor Stachura,1989,Y, $930 
Victor Stachura,1990,Y, $935 
Victor Stachura,1991,Y, $940 
Victor Stachura,1992,Y, $945 
Victor Stachura,1993,Y, $950 
Victor Stachura,1994,Y, $955 
Victor Stachura,1995,Y, $960 
Victor Stachura,1996,Y, $965 
Victor Stachura,1997,Y, $970 
Victor Stachura,1998,Y, $975 
Victor Stachura,1999,Y, $980 
Victor Stachura,2000,Y, $985 
Victor Stachura,2001,Y, $990 
Victor Stachura,2002,Y, $995 
Victor Stachura,2003,Y," $1,000 "
Victor Stachura,2004,Y," $1,005 "
Victor Stachura,2005,Y," $1,010 "
Victor Stachura,2006,Y," $1,015 "
Victor Stachura,2007,Y," $1,020 "
Victor Stachura,2008,Y," $1,025 "
Victor Stachura,2009,Y," $1,030 "
Victor Stachura,2010,Y," $1,035 "
Victor Stachura,2011,Y," $1,040 "
Victor Stachura,2012,Y," $1,045 "
Victor Stachura,2013,Y," $1,050 "
Victor Stachura,2014,Y," $1,055 "
Victor Stachura,2015,Y," $1,060 "
Victor Stachura,2016,Y," $1,065 "
Victor Stachura,2017,Y," $1,070 "
Victor Stachura,2018,Y," $1,075 "
Victor Stachura,2019,Y," $1,080 "
